YEAR,MONTH,BULK_COUNT,MIN_DATE_BULK,MAX_DATE_BULK,MIN_DAY_BULK,MAX_DAY_BULK,AVG_DAY_BULK,DURATION_DAYS_BULK,DURATION_HOURS_BULK,DURATION_MINUTES_BULK
2022,12,793,18-DEC-22 09.24.06.000000000 AM,18-DEC-22 09.24.41.000000000 AM,17.392,17.392,17.392,0,0,1
2023,1,750,24-JAN-23 08.53.46.000000000 AM,24-JAN-23 08.54.25.000000000 AM,23.371,23.371,23.371,0,0,1
2023,2,739,23-FEB-23 12.14.49.000000000 AM,23-FEB-23 12.15.28.000000000 AM,22.01,22.011,22.011,0,0,1
2023,3,734,22-MAR-23 01.49.55.000000000 AM,22-MAR-23 01.50.32.000000000 AM,21.076,21.077,21.077,0,0,1
2023,4,754,03-APR-23 12.39.33.000000000 PM,03-APR-23 12.40.20.000000000 PM,2.527,2.528,2.528,0,0,1
2023,5,760,23-MAY-23 09.33.28.000000000 AM,23-MAY-23 09.34.05.000000000 AM,22.398,22.399,22.398,0,0,1
2023,6,761,21-JUN-23 09.44.55.000000000 AM,21-JUN-23 09.45.36.000000000 AM,20.406,20.407,20.406,0,0,1
2023,7,758,20-JUL-23 09.45.05.000000000 PM,20-JUL-23 09.45.40.000000000 PM,19.906,19.907,19.907,0,0,1
2023,8,767,22-AUG-23 01.09.26.000000000 PM,22-AUG-23 01.09.59.000000000 PM,21.548,21.549,21.548,0,0,1
2023,9,763,20-SEP-23 09.31.38.000000000 AM,20-SEP-23 09.32.07.000000000 AM,19.397,19.397,19.397,0,0,0
2023,10,784,05-OCT-23 02.51.16.000000000 PM,23-OCT-23 08.18.53.000000000 AM,4.619,22.346,4.823,17,17,25528
2023,11,804,20-NOV-23 12.11.59.000000000 PM,20-NOV-23 12.13.16.000000000 PM,19.508,19.509,19.509,0,0,1
2023,12,820,16-DEC-23 02.37.22.000000000 PM,16-DEC-23 02.37.50.000000000 PM,15.609,15.61,15.609,0,0,0
2024,1,803,24-JAN-24 07.55.57.000000000 PM,24-JAN-24 09.12.41.000000000 PM,23.831,23.884,23.883,0,1,77
2024,2,812,24-FEB-24 02.08.59.000000000 PM,24-FEB-24 02.09.40.000000000 PM,23.59,23.59,23.59,0,0,1
2024,3,825,25-MAR-24 08.13.59.000000000 AM,25-MAR-24 08.14.46.000000000 AM,24.343,24.344,24.343,0,0,1
2024,4,885,23-APR-24 04.10.00.000000000 PM,23-APR-24 04.10.48.000000000 PM,22.674,22.674,22.674,0,0,1
2024,5,901,22-MAY-24 11.55.52.000000000 AM,22-MAY-24 11.56.43.000000000 AM,21.497,21.498,21.497,0,0,1
2024,6,900,22-JUN-24 03.26.41.000000000 PM,22-JUN-24 03.27.38.000000000 PM,21.644,21.644,21.644,0,0,1
2024,7,913,24-JUL-24 10.45.27.000000000 AM,24-JUL-24 10.46.28.000000000 AM,23.448,23.449,23.449,0,0,1
2024,8,917,22-AUG-24 02.31.37.000000000 PM,22-AUG-24 02.32.37.000000000 PM,21.605,21.606,21.606,0,0,1
2024,9,942,01-SEP-24 02.12.52.000000000 PM,01-SEP-24 02.13.45.000000000 PM,0.592,0.593,0.593,0,0,1
2024,10,947,23-OCT-24 12.39.44.000000000 PM,23-OCT-24 12.40.26.000000000 PM,22.528,22.528,22.528,0,0,1
2024,11,920,17-NOV-24 08.54.15.000000000 AM,17-NOV-24 08.54.52.000000000 AM,16.371,16.371,16.371,0,0,1
2024,12,609,12-DEC-24 11.46.35.000000000 AM,12-DEC-24 11.47.11.000000000 AM,11.491,11.491,11.491,0,0,1
